Agent_ID,Agent_Name,Experience_Years,Branch
AG001,Vrinda Prabhakar,3,North
AG002,Harini Raghavan,12,East
AG003,Chandran Mukherjee,13,West
AG004,Kritika Badami,5,South
AG005,Leela Nazareth,1,North
AG006,Upasna Dara,3,South
AG007,Vanya Rama,7,South
AG008,Garima Karan,18,West
AG009,Deepa Pant,18,East
AG010,Turvi Bansal,16,East
AG011,Mekhala Varkey,6,North
AG012,Wridesh Ratti,4,West
AG013,Advaith Loke,8,North
AG014,Yashasvi Mukherjee,5,South
AG015,Ranveer Oza,5,East
AG016,Faraj Parmer,1,West
AG017,Panini Barad,2,East
AG018,Saumya Bath,4,North
AG019,Pranit Shanker,19,East
AG020,Nitara Shroff,10,North
AG021,Triya Jha,11,South
AG022,Ansh De,16,South
AG023,Nikita Chatterjee,7,South
AG024,Daksh Bedi,16,West
AG025,Rishi Desai,7,West
AG026,Sai Goel,6,North
AG027,Aarna Tailor,18,West
AG028,Liam Virk,5,North
AG029,Abha Raju,17,South
AG030,Harshil Date,3,South
AG031,Falak Dasgupta,17,West
AG032,Hamsini Tak,19,North
AG033,Watika Bose,8,South
AG034,Wriddhish Ghosh,12,West
AG035,Upasna Kade,9,South
AG036,Ekbal Mittal,2,West
AG037,Gaurika Bhandari,2,West
AG038,Aadhya Ahuja,13,East
AG039,Ekta Mukhopadhyay,7,North
AG040,Mahika Thakkar,13,East
AG041,Rushil Mangat,20,West
AG042,Anay Pau,5,South
AG043,Harrison Kalita,20,West
AG044,Gaurang Brar,6,West
AG045,Sai Handa,20,South
AG046,Rehaan Chadha,16,East
AG047,Isaiah Viswanathan,14,North
AG048,Nilima Aggarwal,14,North
AG049,Inaya Suri,18,North
AG050,Indrajit Mand,5,North
AG051,Vasatika Divan,12,North
AG052,Turvi Johal,13,East
AG053,Gopal Das,15,East
AG054,Noah D’Alia,10,East
AG055,Yashawini Dayal,10,East
AG056,Bhavani Issac,17,West
AG057,Samesh Sandhu,13,West
AG058,Chaman Basak,16,South
AG059,Aayush Madan,3,East
AG060,Christopher Rama,11,West
AG061,Jhalak Babu,9,North
AG062,Ekaja Chana,9,East
AG063,Harinakshi Choudhury,20,East
AG064,Shivani Sahota,11,South
AG065,Dipta Barad,8,East
AG066,Ranveer Sem,12,South
AG067,Chaaya Bhattacharyya,7,East
AG068,Sanya Goyal,17,East
AG069,Luke Saha,9,West
AG070,Logan Rastogi,20,East
AG071,Brinda Hari,7,West
AG072,Rachit Kamdar,10,South
AG073,Wriddhish Murty,12,South
AG074,Abhiram Srivastava,7,East
AG075,Dev Rai,19,West
AG076,Shaurya Krish,4,South
AG077,Ikbal Bava,8,East
AG078,Zansi Swaminathan,20,South
AG079,Rachita Tak,6,East
AG080,Pahal Sarma,12,West
AG081,Rishi Madan,13,South
AG082,Mitesh Tata,9,West
AG083,Barkha Dixit,18,West
AG084,Hemani Natarajan,5,East
AG085,Devika Lanka,20,East
AG086,Riya Anand,9,North
AG087,Darsh Mahal,13,North
AG088,Alexander Bhargava,1,West
AG089,Gunbir Chada,7,North
AG090,Abhimanyu Gade,16,East
AG091,Dominic Sidhu,18,West
AG092,Chanchal Dubey,17,East
AG093,Charita Srinivasan,7,West
AG094,Unnati Thakkar,2,East
AG095,Dakshesh Kaur,16,West
AG096,Gopal Ghose,16,North
AG097,Warinder Balasubramanian,13,West
AG098,Falan Sekhon,4,East
AG099,Hemani Sehgal,6,South
AG100,Sai Tripathi,12,North
AG101,William Nadig,2,North
AG102,Hritik Barad,9,North
AG103,Ethan Gera,18,North
AG104,Kamala Shanker,5,East
AG105,Hamsini Lad,14,North
AG106,Jeremiah Sharaf,2,South
AG107,Yagnesh Pau,1,North
AG108,Oviya Om,11,North
AG109,Irya Setty,10,East
AG110,Janaki Sama,8,West
AG111,Anay Sha,8,South
AG112,Amrita Aggarwal,18,East
AG113,Veda Narasimhan,8,East
AG114,Logan Tailor,1,South
AG115,Arunima Narang,8,East
AG116,Falan Pingle,13,South
AG117,Gauri Chakrabarti,18,South
AG118,Aarna Bajaj,6,North
AG119,Charan Shenoy,19,North
AG120,Alka Lad,16,East
