Customer_ID,Customer_Name,Gender,Occupation,Annual_Income,Branch,City,State
CUST00001,Chandani D’Alia,Female,Business,1236213,North,Delhi,Manipur
CUST00002,Krishna Bhardwaj,Male,Doctor,2776705,South,Hyderabad,Meghalaya
CUST00003,Aryan Sridhar,Male,Doctor,1217034,West,Mumbai,Uttar Pradesh
CUST00004,Sathvik Toor,Male,Business,2585650,South,Hyderabad,Uttar Pradesh
CUST00005,Arya Warrior,Female,Lawyer,327257,West,Mumbai,Goa
CUST00006,Raksha Bhattacharyya,Female,Student,1465476,South,Hyderabad,Punjab
CUST00007,Sneha Bobal,Female,Doctor,689004,South,Bangalore,Meghalaya
CUST00008,Falguni Bhargava,Female,Student,2832210,West,Mumbai,Mizoram
CUST00009,Ikbal Nagar,Female,Doctor,1887688,East,Kolkata,Punjab
CUST00010,Ekapad Kurian,Female,Student,2721590,North,Jaipur,Assam
CUST00011,Gagan Nigam,Male,Engineer,1255874,South,Hyderabad,Haryana
CUST00012,Ronith Shanker,Male,Doctor,1894364,East,Kolkata,Haryana
CUST00013,Lucky Pau,Female,Teacher,1852651,East,Bhubaneswar,Maharashtra
CUST00014,Ladli Bajaj,Female,Doctor,2854880,East,Kolkata,Assam
CUST00015,Avni Jhaveri,Male,Teacher,2238859,South,Hyderabad,Andhra Pradesh
CUST00016,Chatura Buch,Male,Student,534620,West,Ahmedabad,Kerala
CUST00017,Qushi Luthra,Female,Consultant,1422986,South,Bangalore,Andhra Pradesh
CUST00018,Mohammed Bains,Female,Business,2393927,North,Delhi,Goa
CUST00019,Indrajit Chana,Female,Teacher,1410987,West,Pune,Rajasthan
CUST00020,Naveen Mukherjee,Female,Consultant,2747514,South,Bangalore,Andhra Pradesh
CUST00021,Maanav Mody,Male,Teacher,2437108,West,Ahmedabad,Meghalaya
CUST00022,Upadhriti Sabharwal,Male,Doctor,941062,West,Mumbai,Tamil Nadu
CUST00023,Upasna Bhargava,Female,Doctor,1913831,South,Hyderabad,Gujarat
CUST00024,Vansha Sangha,Female,Lawyer,2620397,West,Pune,Uttar Pradesh
CUST00025,Kiaan Saxena,Male,Lawyer,2988388,North,Jaipur,West Bengal
CUST00026,Abeer Kamdar,Female,Consultant,963361,East,Kolkata,Andhra Pradesh
