Policy_ID,Customer_ID,Agent_ID,Product,Branch,Policy_Start_Date,Policy_End_Date,Premium,Sum_Insured,Policy_Status,Customer_Name,City,State,Source_File,Policy_Duration_Days,Premium_Band,Data_Quality_Flag
POL007936,CUST00374,AG117,Motor,East,2026-08-05,2027-08-05,29403.0,2587464,Active,Isaac Bajaj,Delhi,Madhya Pradesh,East_Travel.xlsx,365,Medium,OK
POL006585,CUST00843,AG032,Home,East,2026-08-04,2027-08-04,17478.0,1538064,Active,Januja Nigam,Kolkata,Tripura,East_Travel.xlsx,365,Medium,OK
POL001126,CUST00160,AG093,Home,East,2026-08-04,2027-08-04,10093.0,908370,Cancelled,Libni Pall,Bhubaneswar,Madhya Pradesh,East_Travel.xlsx,365,Medium,OK
POL000191,CUST00951,AG012,Commercial Property,East,2026-08-04,2027-08-04,525913.0,18932868,Cancelled,Orinder Sani,Patna,Odisha,East_Travel.xlsx,365,Ultra High,OK
POL000211,CUST01876,AG104,Motor,East,2026-08-03,2027-08-03,27726.0,665424,Renewed,Nisha Uppal,Chandigarh,West Bengal,East_Travel.xlsx,365,Medium,OK
POL009171,CUST02502,AG026,Commercial Property,East,2026-08-03,2027-08-03,145116.0,12334860,Active,Jagat Acharya,Delhi,Punjab,East_Travel.xlsx,365,Very High,OK
POL000856,CUST02082,AG083,Commercial Property,East,2026-08-03,2027-08-03,524084.0,44023056,Renewed,Aarini Arora,Jaipur,Jharkhand,East_Travel.xlsx,365,Ultra High,OK
POL003698,CUST01032,AG044,Travel,East,2026-08-02,2027-08-02,13118.0,695254,Active,Widisha Choudhary,Jaipur,West Bengal,East_Travel.xlsx,365,Medium,OK
POL007177,CUST02966,AG072,Commercial Property,East,2026-08-02,2027-08-02,183603.0,7894929,Renewed,Priya Dua,Jaipur,Odisha,East_Travel.xlsx,365,Very High,OK
POL003440,CUST02169,AG110,Motor,East,2026-08-01,2027-08-01,34158.0,717318,Lapsed,Waida Prabhu,Mumbai,Rajasthan,East_Travel.xlsx,365,Medium,OK
POL004456,CUST00567,AG074,Commercial Property,East,2026-08-01,2027-08-01,266336.0,20774208,Cancelled,Vanya Ravi,Mumbai,Punjab,East_Travel.xlsx,365,Very High,OK
POL001697,CUST00028,AG023,Home,East,2026-08-01,2027-08-01,27461.0,2718639,Cancelled,Amaira Ratta,Jaipur,Rajasthan,East_Travel.xlsx,365,Medium,OK
POL001055,CUST00011,AG023,Motor,East,2026-08-01,2027-08-01,7947.0,492714,Cancelled,Gagan Nigam,Hyderabad,Haryana,East_Travel.xlsx,365,Low,OK
POL000969,CUST02582,AG037,Commercial Property,East,2026-07-31,2027-07-31,191843.0,5755290,Active,Osha Loyal,Chandigarh,Tamil Nadu,East_Travel.xlsx,365,Very High,OK
POL009992,CUST02872,AG068,Home,East,2026-07-30,2027-07-30,31950.0,1693350,Renewed,Yug Agarwal,Bangalore,Sikkim,East_Travel.xlsx,365,Medium,OK
POL006530,CUST01267,AG032,Travel,East,2026-07-30,2027-07-30,3051.0,85428,Cancelled,Ekbal Sangha,Pune,Maharashtra,East_Travel.xlsx,365,Low,OK
POL009971,CUST02197,AG065,Motor,East,2026-07-30,2027-07-30,18339.0,623526,Lapsed,Kamya Hegde,Kolkata,Karnataka,East_Travel.xlsx,365,Medium,OK
POL001781,CUST02363,AG078,Marine,East,2026-07-30,2027-07-30,124571.0,3737130,Lapsed,Baljiwan Andra,Jaipur,Himachal Pradesh,East_Travel.xlsx,365,Very High,OK
POL005673,CUST00053,AG038,Marine,East,2026-07-28,2027-07-28,129932.0,11044220,Active,Bhanumati Viswanathan,Jaipur,Himachal Pradesh,East_Travel.xlsx,365,Very High,OK
POL004123,CUST00132,AG067,Travel,East,2026-07-28,2027-07-28,4360.0,327000,Renewed,Nimrat Modi,Bhubaneswar,Jharkhand,East_Travel.xlsx,365,Low,OK
POL001758,CUST02208,AG078,Home,East,2026-07-28,2027-07-28,8433.0,497547,Expired,Faraj Suri,Delhi,Sikkim,East_Travel.xlsx,365,Low,OK
POL009872,CUST01630,AG023,Motor,East,2026-07-27,2027-07-27,38210.0,2942170,Renewed,Oscar Parmer,Hyderabad,Tamil Nadu,East_Travel.xlsx,365,Medium,OK
POL009926,CUST02217,AG013,Commercial Property,East,2026-07-27,2027-07-27,842995.0,34562795,Renewed,Unknown,Kolkata,Telangana,East_Travel.xlsx,365,Ultra High,Review
POL002275,CUST01400,AG095,Motor,East,2026-07-27,2027-07-27,28674.0,2408616,Renewed,Rishi Mand,Chandigarh,Andhra Pradesh,East_Travel.xlsx,365,Medium,OK
POL005456,CUST01167,AG018,Marine,East,2026-07-26,2027-07-26,103798.0,4151920,Active,Pranav Sandal,Mumbai,Rajasthan,East_Travel.xlsx,365,Very High,OK
POL005103,CUST00146,AG090,Commercial Property,East,2026-07-26,2027-07-26,160529.0,15410784,Cancelled,Lohit Naidu,Ahmedabad,Karnataka,East_Travel.xlsx,365,Very High,OK
POL007110,CUST01527,AG070,Home,East,2026-07-26,2027-07-26,59527.0,5774119,Renewed,Riya Divan,Mumbai,Himachal Pradesh,East_Travel.xlsx,365,High,OK
POL006808,CUST01477,AG112,Home,East,2026-07-26,2027-07-26,43270.0,4327000,Renewed,Gaurav Chadha,Hyderabad,Sikkim,East_Travel.xlsx,365,Medium,OK
POL008189,CUST02125,AG088,Travel,East,2026-07-26,2027-07-26,5250.0,525000,Expired,Naksh Bhavsar,Chandigarh,Maharashtra,East_Travel.xlsx,365,Low,OK
POL005742,CUST02165,AG093,Marine,East,2026-07-25,2027-07-25,35902.0,4054104,Cancelled,Ethan Bobal,Delhi,Uttar Pradesh,East_Travel.xlsx,365,Medium,OK
POL005685,CUST00709,AG003,Home,East,2026-07-24,2027-07-24,23682.0,1444602,Renewed,Warinder Gola,Chennai,Manipur,East_Travel.xlsx,365,Medium,OK
POL003607,CUST00453,AG096,Home,East,2026-07-24,2027-07-24,66478.0,1794906,Cancelled,Darika Kant,Kolkata,Uttar Pradesh,East_Travel.xlsx,365,High,OK
POL008155,CUST02410,AG063,Travel,East,2026-07-23,2027-07-23,4028.0,342380,Cancelled,Nachiket Nori,Kolkata,Assam,East_Travel.xlsx,365,Low,OK
POL002044,CUST02167,AG013,Motor,East,2026-07-23,2027-07-23,19779.0,593370,Renewed,Max Wali,Bhubaneswar,Assam,East_Travel.xlsx,365,Medium,OK
POL004086,CUST01165,AG085,Commercial Property,East,2026-07-23,2027-07-23,608159.0,48652720,Cancelled,Raagini Gala,Hyderabad,Tripura,East_Travel.xlsx,365,Ultra High,OK
POL007503,CUST01778,AG118,Motor,East,2026-07-22,2027-07-22,5889.0,212004,Lapsed,Jacob Chaudry,Bangalore,Nagaland,East_Travel.xlsx,365,Low,OK
POL001618,CUST02489,AG071,Commercial Property,East,2026-07-22,2027-07-22,35902.0,16001238,Renewed,Siya Mallick,Delhi,Bihar,East_Travel.xlsx,365,Medium,OK
POL009145,CUST02183,AG071,Commercial Property,East,2026-07-22,2027-07-22,146461.0,8055355,Expired,Aarini De,Delhi,Uttar Pradesh,East_Travel.xlsx,365,Very High,OK
POL009698,CUST01684,AG062,Home,East,2026-07-22,2027-07-22,56572.0,5317768,Lapsed,Dalaja Chad,Pune,Jharkhand,East_Travel.xlsx,365,High,OK
POL007980,CUST01736,AG032,Motor,East,2026-07-22,2027-07-22,6624.0,423936,Lapsed,Anirudh Mane,Delhi,West Bengal,East_Travel.xlsx,365,Low,OK
POL007671,CUST01314,AG032,Travel,East,2026-07-20,2027-07-20,4243.0,263066,Expired,Faris Manda,Chandigarh,Sikkim,East_Travel.xlsx,365,Low,OK
POL005296,CUST01073,AG082,Marine,East,2026-07-20,2027-07-20,140004.0,11480328,Active,Zaid Gera,Kolkata,Gujarat,East_Travel.xlsx,365,Very High,OK
POL000007,CUST02812,AG120,Home,East,2026-07-19,2027-07-19,32867.0,3023764,Expired,Ekantika Basu,Bangalore,Jharkhand,East_Travel.xlsx,365,Medium,OK
POL009398,CUST02760,AG079,Marine,East,2026-07-19,2027-07-19,155050.0,15194900,Active,Parth Subramanian,Pune,Manipur,East_Travel.xlsx,365,Very High,OK
POL001068,CUST01185,AG101,Motor,East,2026-07-18,2027-07-18,14050.0,547950,Active,Theodore Aggarwal,Pune,Haryana,East_Travel.xlsx,365,Medium,OK
POL007512,CUST01919,AG094,Travel,East,2026-07-18,2027-07-18,4545.0,304515,Cancelled,Balhaar Saran,Chandigarh,Assam,East_Travel.xlsx,365,Low,OK
